agent_name,curriculum_name,evaluation,aar,ses,learning_stability,mean_reward,std_reward,total_reward,success_rate
dqn,baseline,0,0.9999939999999998,0.9509018036072144,10.401922899156673,12.7,1.8894443627691184,635.0,0.0
dqn,baseline,1,0.9999040000000002,0.9613899613899614,14.55638691434107,52.3,10.237675517420934,2615.0,0.0
dqn,baseline,2,0.999882,0.9687750200160128,18.884713394701016,119.14,22.482891273143675,5957.0,0.0
dqn,baseline,3,0.999968,0.9769452449567724,27.321559252722018,56.94,11.439248227047091,2847.0,0.0
dqn,baseline,4,1.0,0.9778206364513018,18.205768316662716,39.12,8.643240133190794,1956.0,0.0
dqn,baseline,5,0.9999539999999999,0.9778554778554779,21.482085559833337,38.46,8.275771867324522,1923.0,0.0
dqn,baseline,6,0.9999839999999999,0.9748031496062992,15.025165556492215,39.2,7.49933330370107,1960.0,0.0
dqn,baseline,7,0.9999939999999998,0.9736842105263158,11.901277242380331,38.48,7.244970669367821,1924.0,0.0
dqn,baseline,8,0.999966,0.9811764705882353,8.511756575466665,39.08,7.6337146920748875,1954.0,0.0
dqn,baseline,9,0.9999959999999999,0.9768115942028985,9.845120618864962,39.52,7.250489638638207,1976.0,0.0
dqn,baseline,10,0.9999759999999999,0.9789156626506024,11.120809323066375,39.74,8.78136663623607,1987.0,0.0
dqn,baseline,11,0.999974,0.9850746268656716,10.008476407525773,39.12,7.444837137238128,1956.0,0.0
dqn,baseline,12,0.999952,0.9945945945945946,8.32108166045737,40.62,8.9819596970817,2031.0,0.0
dqn,baseline,13,0.999956,0.9720670391061452,7.773905067596337,38.78,9.552570334731904,1939.0,0.0
dqn,baseline,14,0.999952,1.0,8.700436770645483,38.88,7.450208050786233,1944.0,0.0
dqn,baseline,15,1.0,0.9920634920634921,10.541271270582122,37.74,8.451769045590396,1887.0,0.0
dqn,baseline,16,0.9999919999999999,0.98,8.001599840031991,37.5,7.7,1875.0,0.0
dqn,baseline,17,0.9999899999999999,0.975,5.797413216254299,40.44,9.49138556797689,2022.0,0.0
dqn,baseline,18,0.9999859999999998,0.9848484848484849,9.562949335848225,38.06,7.8725091298772085,1903.0,0.0
dqn,baseline,19,0.9999979999999999,0.9807692307692307,7.5708916251654275,42.08,8.330282108068129,2104.0,0.0
dqn,baseline,20,0.9999619999999999,0.9777777777777777,8.2516664983505,40.6,7.745966692414834,2030.0,0.0
dqn,baseline,21,0.999972,0.967741935483871,9.931948449322519,39.9,8.942594701763017,1995.0,0.0
dqn,baseline,22,0.9999899999999999,1.0,9.307717228192958,39.1,8.816461875378353,1955.0,0.0
dqn,baseline,23,0.999966,0.967741935483871,8.652306050990106,40.02,7.237375214813724,2001.0,0.0
dqn,baseline,24,0.9999619999999999,1.0,8.92555880603562,39.98,8.058511028719884,1999.0,0.0
dqn,baseline,25,0.999974,1.0,7.250489638638208,38.92,6.9421610468210835,1946.0,0.0
dqn,baseline,26,0.9999939999999998,0.9090909090909091,8.99833317898376,42.2,6.767569726275452,2110.0,0.0
dqn,baseline,27,0.9999619999999999,1.0,8.42244620048119,38.18,7.401864629942918,1909.0,0.0
dqn,baseline,28,0.999974,0.96,6.494428381312709,39.12,7.37465931416496,1956.0,0.0
dqn,baseline,29,0.999958,0.782608695652174,7.557354034316508,39.26,8.604208272700053,1963.0,0.0
dqn,baseline,30,0.9999859999999998,0.9629629629629629,7.9314311445034935,38.74,6.916097165309348,1937.0,0.0
dqn,baseline,31,0.999958,1.0,8.035147789555586,38.26,8.555255694600834,1913.0,0.0
dqn,baseline,32,0.999974,1.0,10.038426171467318,38.36,8.601767260278553,1918.0,0.0
dqn,baseline,33,1.0,0.9615384615384616,8.737711370833898,38.9,7.963039620647382,1945.0,0.0
dqn,baseline,34,0.999974,0.9473684210526315,7.714428041015096,42.94,9.190016322074733,2147.0,0.0
dqn,baseline,35,0.9999839999999999,1.0,8.86749118973343,39.92,7.706724336577766,1996.0,0.0
dqn,baseline,36,0.9999959999999999,0.9166666666666666,8.108662035132554,37.08,8.240970816596793,1854.0,0.0
dqn,baseline,37,0.999958,0.9615384615384616,8.264526604712458,41.82,8.493974334785808,2091.0,0.0
dqn,baseline,38,0.9999699999999998,1.0,7.56309460472365,38.6,9.574967362868659,1930.0,0.0
dqn,baseline,39,1.0,1.0,8.090092706514554,38.7,7.454528824815154,1935.0,0.0
dqn,baseline,40,0.9999619999999999,1.0,8.332490624057131,40.14,9.854968290157,2007.0,0.0
dqn,baseline,41,0.9999899999999999,0.8888888888888888,7.375201692157306,40.36,8.930307945418232,2018.0,0.0
dqn,baseline,42,0.9999619999999999,1.0,9.156942721236167,38.04,7.699246716400249,1902.0,0.0
dqn,baseline,43,0.9999959999999999,1.0,8.55205238524648,37.72,8.442843123024375,1886.0,0.0
dqn,baseline,44,0.9999819999999999,1.0,7.3483603613323165,39.86,9.637447794929942,1993.0,0.0
dqn,baseline,45,0.999958,0.8823529411764706,7.79848703275193,38.46,7.122387240244664,1923.0,0.0
dqn,baseline,46,1.0,0.95,8.974720051344221,37.82,9.083369418888566,1891.0,0.0
dqn,baseline,47,1.0,1.0,8.714218266717905,39.94,9.343254251062636,1997.0,0.0
dqn,baseline,48,0.999952,1.0,10.546070358195038,38.0,7.861297602813418,1900.0,0.0
dqn,baseline,49,0.9999759999999999,0.95,8.065333223122279,38.06,7.7496064416201165,1903.0,0.0
dqn,baseline,50,0.9999539999999999,0.9333333333333333,7.2988766258925075,39.54,8.05781608129647,1977.0,0.0
