agent_name,evaluation,curriculum_name,aar,ses,learning_stability,mean_reward,std_reward,total_reward,success_rate
dqn,0,baseline,1.0,0.9696969696969697,12.149485585818026,41.2,7.025667228100119,412.0,0.0
dqn,1,baseline,1.0,0.9686274509803922,13.660161053223348,31.2,7.6131465242697125,312.0,0.0
dqn,2,baseline,1.0,0.9790575916230366,31.162316987027776,21.3,2.7586228448267445,213.0,0.0
dqn,3,baseline,1.0,0.9759036144578314,12.878276282173792,12.1,0.8306623862918076,121.0,0.0
dqn,4,baseline,1.0,0.9830508474576272,9.596353474106714,16.6,2.4166091947189146,166.0,0.0
dqn,5,baseline,1.0,1.0,8.366600265340756,23.1,4.158124577258358,231.0,0.0
dqn,6,baseline,1.0,0.9629629629629629,19.349676999888135,27.2,2.315167380558045,272.0,0.0
dqn,7,baseline,1.0,0.9787234042553191,41.019995124329306,40.3,4.859012245302536,403.0,0.0
dqn,8,baseline,1.0,0.9523809523809523,22.20923231451281,15.8,1.7776388834631176,158.0,0.0
dqn,9,baseline,1.0,1.0,25.531157435572716,48.2,3.370459909270543,482.0,0.0
dqn,10,baseline,1.0,1.0,48.92892804875251,45.6,3.3823069050575527,456.0,0.0
dqn,11,baseline,1.0,1.0,59.73976899854903,96.9,8.2516664983505,969.0,0.0
dqn,12,baseline,1.0,1.0,47.929218645832314,72.9,4.22965719651132,729.0,0.0
dqn,13,baseline,1.0,1.0,67.19590761348492,131.7,9.960421677820674,1317.0,0.0
dqn,14,baseline,1.0,1.0,30.893364983439405,150.4,17.46539435569664,1504.0,0.0
dqn,15,baseline,1.0,1.0,23.566077314648695,106.6,8.187795796183488,1066.0,0.0
dqn,16,baseline,1.0,1.0,17.16275036233995,160.6,16.722440013347335,1606.0,0.0
dqn,17,baseline,1.0,1.0,12.403225386970924,176.1,28.856368447883387,1761.0,0.0
dqn,18,baseline,1.0,1.0,18.82046758186417,162.5,23.195904810979027,1625.0,0.0
dqn,19,baseline,1.0,1.0,45.11330180778171,193.6,24.004999479275146,1936.0,0.0
dqn,20,baseline,1.0,1.0,56.91221310052878,224.0,16.15549442140351,2240.0,0.0
dqn,21,baseline,1.0,1.0,75.89341209881132,213.7,30.919411378614566,2137.0,0.0
dqn,22,baseline,1.0,1.0,56.09598916143649,227.3,24.851760501018834,2273.0,0.0
dqn,23,baseline,1.0,1.0,24.527739398485135,229.6,31.847134878980874,2296.0,0.0
dqn,24,baseline,1.0,1.0,23.765731631910683,235.1,17.178183838811368,2351.0,0.0
dqn,25,baseline,1.0,1.0,21.5613079380635,232.9,22.358219964925652,2329.0,0.0
dqn,26,baseline,1.0,1.0,102.14519078253268,228.2,15.542200616386342,2282.0,0.0
dqn,27,baseline,1.0,1.0,103.16801830024652,232.9,28.225697511310504,2329.0,0.0
dqn,28,baseline,1.0,1.0,45.53196679257332,229.5,20.110942295178514,2295.0,0.0
dqn,29,baseline,1.0,1.0,40.79473005180939,225.5,16.824089871371942,2255.0,0.0
dqn,30,baseline,1.0,1.0,27.326909814320388,250.2,20.531926358722405,2502.0,0.0
dqn,31,baseline,1.0,1.0,37.86079766724415,229.2,17.278888853164144,2292.0,0.0
dqn,32,baseline,1.0,1.0,35.90543134401813,250.1,22.029298672449837,2501.0,0.0
