agent_name,curriculum_name,evaluation,aar,ses,learning_stability,mean_reward,std_reward,total_reward,success_rate
ppo,teacher-learning,2,-41.874394506404364,0,494.3959376234281,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,3,-90.10112426887335,0,588.775292928148,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,4,123.81834775594534,0,373.66582765083666,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,5,-164.66879081139717,0,478.46105718150267,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,6,-440.2520497270924,0,449.6530789861866,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,7,3953.353150923882,0,533.4942916397972,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,8,-238.53013380807798,0,499.0760821082637,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,9,-240.19102522401408,0,525.1035707699805,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,10,-295.1474249119348,0,416.20548628145445,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,11,-135.39254437312724,0,465.6444090231768,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,12,-148.96614933185907,0,458.6287342758647,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,13,-754.297304105443,0,425.4561152411913,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,14,351.73679573327,0,454.6362434641444,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,15,-121.27749706672475,0,495.6118263484603,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,16,-241.26352895511818,0,482.1260485337699,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,17,-234.39315872003203,0,381.29203509386286,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,18,-273.96414725051267,0,528.544479060234,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,19,-96.124769483895,0,541.4192494857713,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,20,-137.19245044678888,0,487.5305732705976,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,21,-310.1278197951344,0,534.6648916409338,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,22,-116.73583681223947,0,476.95881732637395,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,23,-226.65069254359145,0,483.6915162723939,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,24,-211.15698023663361,0,480.7527812294039,-1000.0,0.0,-10000.0,0.0
ppo,teacher-learning,25,212.19141969216307,0,476.7378865668774,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,0,-166.33843679444877,0,523.7414024216433,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,1,-120.69009774136241,0,345.76876292211983,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,2,-103.42970898467095,0,479.48627471575423,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,3,-81.04521517820021,0,440.44142634845514,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,4,-71.65176694433447,0,299.1661434387948,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,5,-62.223592717470275,0,236.46052334603087,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,6,-59.99582223412813,0,221.3541244725948,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,7,-53.391024267172064,0,256.27967993039135,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,8,-47.623542561178404,0,384.01301817853044,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,9,-42.3935671878481,0,212.89237334165662,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,10,-39.864334338663994,0,337.5691993480219,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,11,-35.241642518281154,0,311.3229236583192,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,12,-35.80563395793842,0,202.40834527536472,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,13,-30.260582693191708,0,319.79889021219543,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,14,-34.084383837676526,0,317.0509736417429,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,15,-28.281921051019754,0,323.8075327099114,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,16,-30.928111685502707,0,336.8763543216381,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,17,-26.367351067633486,0,226.16094334553048,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,18,-25.97264703160954,0,366.5951856331314,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,19,-22.54250498221797,0,270.18181154252534,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,20,-22.124372859160275,0,285.242530072958,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,21,-22.375176767185156,0,254.40045985683525,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,22,-23.963315449311374,0,389.370877828291,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,23,-20.92043313203375,0,361.5792165879294,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,24,-20.930171096773798,0,362.2492262778342,-1000.0,0.0,-10000.0,0.0
ppo,one-pass,25,-19.606588341101816,0,379.4715932093368,-1000.0,0.0,-10000.0,0.0
ppo,root-p,0,-37.76741353113282,0,426.4189293111083,-1000.0,0.0,-10000.0,0.0
ppo,root-p,1,-34.153819180736804,0,394.07529996559265,-1000.0,0.0,-10000.0,0.0
ppo,root-p,2,-33.677633875572596,0,281.8908269016417,-1000.0,0.0,-10000.0,0.0
ppo,root-p,3,-33.167135602876186,0,318.20004196095385,-1000.0,0.0,-10000.0,0.0
ppo,root-p,4,-34.90351554576042,0,441.2782059437451,-1000.0,0.0,-10000.0,0.0
ppo,root-p,5,-37.200610207011074,0,362.8606949653986,-1000.0,0.0,-10000.0,0.0
ppo,root-p,6,-37.77222618765906,0,417.61400411314963,-1000.0,0.0,-10000.0,0.0
ppo,root-p,7,-35.299135204415464,0,269.4069147225059,-1000.0,0.0,-10000.0,0.0
ppo,root-p,8,-33.66875164732849,0,245.34255951984727,-1000.0,0.0,-10000.0,0.0
ppo,root-p,9,-30.715092477035874,0,296.2204509702144,-1000.0,0.0,-10000.0,0.0
ppo,root-p,10,-33.39463344481539,0,421.6432733465097,-1000.0,0.0,-10000.0,0.0
ppo,root-p,11,-36.07614650488137,0,354.38478801934184,-1000.0,0.0,-10000.0,0.0
ppo,root-p,12,-35.997385710296676,0,299.24547032681744,-1000.0,0.0,-10000.0,0.0
ppo,root-p,13,-35.21407439934217,0,334.847410789382,-1000.0,0.0,-10000.0,0.0
ppo,root-p,14,-36.6414769595436,0,268.14153588122963,-1000.0,0.0,-10000.0,0.0
ppo,root-p,15,-37.919969090048625,0,311.84242206572065,-1000.0,0.0,-10000.0,0.0
ppo,root-p,16,-34.50667272169185,0,316.26363594978955,-1000.0,0.0,-10000.0,0.0
ppo,root-p,17,-36.79401803161595,0,287.0983057075715,-1000.0,0.0,-10000.0,0.0
ppo,root-p,18,-33.70167781983095,0,324.01668951406367,-1000.0,0.0,-10000.0,0.0
ppo,root-p,19,-34.96249008123205,0,320.70893722387683,-1000.0,0.0,-10000.0,0.0
ppo,root-p,20,-30.84804602469717,0,337.49358129714784,-1000.0,0.0,-10000.0,0.0
ppo,root-p,21,-37.46862491495779,0,342.5274231140846,-1000.0,0.0,-10000.0,0.0
ppo,root-p,22,-35.88465871088906,0,344.31448099606,-1000.0,0.0,-10000.0,0.0
ppo,root-p,23,-34.82070127493604,0,322.06820704285326,-1000.0,0.0,-10000.0,0.0
ppo,root-p,24,-34.63732161068405,0,245.33833707301784,-1000.0,0.0,-10000.0,0.0
