agent_name,evaluation,curriculum_name,aar,ses,learning_stability,mean_reward,std_reward,total_reward,success_rate
dqn,baseline,0,-21.620667923831157,1.0,477.8075000067342,-1000.0,0.0,-20000.0,0.0
dqn,baseline,1,-18.65090824723659,1.0,346.0884647557023,-1000.0,0.0,-20000.0,0.0
dqn,baseline,2,-18.53102382406349,1.0,285.5294326447141,-1000.0,0.0,-20000.0,0.0
dqn,baseline,3,-17.796056055662213,1.0,295.0460528838039,-1000.0,0.0,-20000.0,0.0
dqn,baseline,4,-17.15769837935481,1.0,227.36639831569954,-1000.0,0.0,-20000.0,0.0
dqn,baseline,5,-18.54786582699536,1.0,329.50404692266954,-1000.0,0.0,-20000.0,0.0
dqn,baseline,6,-17.45561914592908,1.0,270.511924794335,-1000.0,0.0,-20000.0,0.0
dqn,baseline,7,-16.06420640188069,1.0,238.82592227960097,-1000.0,0.0,-20000.0,0.0
dqn,baseline,8,-16.61664868676281,1.0,273.8380328198053,-1000.0,0.0,-20000.0,0.0
dqn,baseline,9,-16.831529497386565,1.0,287.2101365663024,-1000.0,0.0,-20000.0,0.0
dqn,baseline,10,-17.026065615867275,1.0,255.89148239687756,-1000.0,0.0,-20000.0,0.0
dqn,baseline,11,-17.154544620822133,1.0,259.22466249170685,-1000.0,0.0,-20000.0,0.0
dqn,baseline,12,-15.366128323898772,1.0,259.7166025916054,-1000.0,0.0,-20000.0,0.0
dqn,baseline,13,-16.655383297007074,1.0,347.54693092970336,-1000.0,0.0,-20000.0,0.0
dqn,baseline,14,-16.49419190096862,1.0,288.7767231470193,-1000.0,0.0,-20000.0,0.0
dqn,baseline,15,-16.82940091722756,1.0,325.83224295382314,-1000.0,0.0,-20000.0,0.0
dqn,baseline,16,-15.907946682153028,1.0,259.3971769379994,-1000.0,0.0,-20000.0,0.0
dqn,baseline,17,-16.505131497790096,1.0,250.86536480392033,-1000.0,0.0,-20000.0,0.0
dqn,baseline,18,-15.880048857917497,1.0,347.7540963476814,-1000.0,0.0,-20000.0,0.0
dqn,baseline,19,-15.347223795652038,1.0,251.19437353391112,-1000.0,0.0,-20000.0,0.0
dqn,baseline,20,-16.240079306715565,1.0,253.73169169025442,-1000.0,0.0,-20000.0,0.0
dqn,baseline,21,-16.48195301757236,1.0,234.83189353806833,-1000.0,0.0,-20000.0,0.0
dqn,baseline,22,-17.09466692368352,1.0,315.29079492206085,-1000.0,0.0,-20000.0,0.0
dqn,baseline,23,-16.958746008251552,1.0,357.37822007365924,-1000.0,0.0,-20000.0,0.0
dqn,baseline,24,-17.27570338281356,1.0,235.6561119010858,-1000.0,0.0,-20000.0,0.0
dqn,baseline,25,-16.393333671687266,1.0,318.79384144160394,-1000.0,0.0,-20000.0,0.0
dqn,baseline,26,-16.701591484206737,1.0,304.636844038566,-1000.0,0.0,-20000.0,0.0
dqn,baseline,27,-16.376431737579093,1.0,279.881405650754,-1000.0,0.0,-20000.0,0.0
dqn,baseline,28,-16.867808709318325,1.0,325.63950164614863,-1000.0,0.0,-20000.0,0.0
dqn,baseline,29,-15.80761797224406,1.0,369.69069727164305,-1000.0,0.0,-20000.0,0.0
dqn,baseline,30,-16.48222354136992,1.0,288.75493977991846,-1000.0,0.0,-20000.0,0.0
dqn,baseline,31,-16.252148430788036,1.0,293.5354325407005,-1000.0,0.0,-20000.0,0.0
dqn,baseline,32,-16.40908991090332,1.0,345.0878436000331,-1000.0,0.0,-20000.0,0.0
dqn,baseline,33,-15.615110101743957,1.0,355.8490841008247,-1000.0,0.0,-20000.0,0.0
dqn,baseline,34,-16.28974591031662,1.0,244.37147830412422,-1000.0,0.0,-20000.0,0.0
dqn,baseline,35,-15.376811899272036,1.0,294.42879139236925,-1000.0,0.0,-20000.0,0.0
dqn,baseline,36,-16.457840692924776,1.0,325.7361799199815,-1000.0,0.0,-20000.0,0.0
dqn,baseline,37,-16.534368782180803,1.0,306.49186459160467,-1000.0,0.0,-20000.0,0.0
dqn,baseline,38,-15.48571177125498,1.0,290.823345550174,-1000.0,0.0,-20000.0,0.0
dqn,baseline,39,-15.612351122742393,1.0,283.2170369504159,-1000.0,0.0,-20000.0,0.0
dqn,baseline,40,-16.037971082841302,1.0,309.61412237274243,-1000.0,0.0,-20000.0,0.0
dqn,baseline,41,-15.063622412585392,1.0,286.3435341373252,-1000.0,0.0,-20000.0,0.0
dqn,baseline,42,-16.207690090886143,1.0,352.0085060462545,-1000.0,0.0,-20000.0,0.0
dqn,baseline,43,-15.993611174438623,1.0,319.73448590084934,-1000.0,0.0,-20000.0,0.0
dqn,baseline,44,-15.945684300925393,1.0,282.3969641882115,-1000.0,0.0,-20000.0,0.0
dqn,baseline,45,-16.13153241253209,1.0,340.8046293801935,-1000.0,0.0,-20000.0,0.0
dqn,baseline,46,-16.244229400563533,1.0,291.5647345623775,-1000.0,0.0,-20000.0,0.0
dqn,baseline,47,-16.02057086641463,1.0,281.89844524426906,-1000.0,0.0,-20000.0,0.0
dqn,baseline,48,-14.963044482800077,1.0,348.344922766981,-1000.0,0.0,-20000.0,0.0
dqn,baseline,49,-16.4781018094911,1.0,293.52719951213686,-1000.0,0.0,-20000.0,0.0
dqn,baseline,50,-15.26641913868888,1.0,289.6606053713865,-1000.0,0.0,-20000.0,0.0
dqn,baseline,51,-16.784343488606932,1.0,298.0833634437093,-1000.0,0.0,-20000.0,0.0
dqn,baseline,52,-15.855498922692195,1.0,315.4491729839446,-1000.0,0.0,-20000.0,0.0
dqn,baseline,53,-16.5968922399407,1.0,328.35235509941333,-1000.0,0.0,-20000.0,0.0
